name,address,postcode,telephone,lon,lat
Park Medical Practice,"Park Medical Practice, 119 Park Road, Timperley, Altrincham, Cheshire",WA15 6QQ,0161 9733485,-2.327843,53.401899
Altrincham Medical Practice,"Altrincham Medical Pract, Lloyd House, 7 Lloyd St., Altrincham, Cheshire",WA14 2DD,0161 9282424,-2.351614,53.38451
Urmston Group Practice,"6 Woodsend Crescent Road, Urmston, Manchester",M41 8AA,0161 7559870,-2.394066,53.452491
Timperley Health Centre (Westwood),"Timperley Health Centre, 169 Grove Lane, Timperley, Altrincham, Cheshire",WA15 6PH,0161 9803751,-2.323566,53.397228
Shay Lane Medical Centre (Kelman),"Shay Lane Medical Centre, Shay Lane, Hale Barns, Altrincham, Cheshire",WA15 8NZ,0161 9803835,-2.31556,53.372189
Davyhulme Medical Centre,"130 Broadway, Davyhulme,Urmston, Manchester",M41 7WJ,0161 7485559,-2.366782,53.459483
Shay Lane Medical Centre (Patel),"Shay Lane Medical Centre, Shay Lane, Hale Barns, Altrincham, Cheshire",WA15 8NZ,0161 9802656,-2.31556,53.372189
Primrose Surgery,"59 Old Crofts Bank, Urmston, Manchester",M41 7AB,0161 7472424,-2.357311,53.456159
Boundary House Medical Centre,"Boundary House, 462 Northenden Road, Sale, Cheshire",M33 2RH,0161 9729999,-2.288936,53.415635
Washway Road Medical Centre,"Washway Road Medical Ctr., 67 Washway Road, Sale, Cheshire",M33 7SS,0161 9624354,-2.328288,53.422516
West Timperley Medical Centre,"West Timperley Med. Ctr., 21 Dawson Road, West Timperley, Altrincham, Cheshire",WA14 5PF,0161 9291515,-2.353117,53.402699
Bodmin Road Health Centre,"Bodmin Road Health Centre, Bodmin Road, Sale, Cheshire",M33 5JH,0161 9624625,-2.351718,53.428123
Delamere Medical Practice,"The Delamere Med Pract, Delamere Avenue, Stretford, Manchester",M32 0DF,0161 8640200,-2.307365,53.450887
Partington Central Surgery,"Partington Central Surg, Partington Health Centre, Central Road, Partington, Manchester",M31 4FY,0161 7757032,-2.425016,53.416781
Brooks Bar Medical Centre,"The Brooks Bar Med.ctr., 162-164 Chorlton Road, Old Trafford, Manchester",M16 7WW,0161 2267777,-2.258524,53.459478
Firsway Health Centre,"121 Firsway, Sale, Cheshire",M33 4BR,0161 9050310,-2.355468,53.421289
Partington Family Practice,"Partington Health Centre, Central Road, Partington, Manchester",M31 4FL,0161 7757033,-2.425053,53.417437
Flixton Road Medical Centre,"Flixton Road Medical Ctr, 132 Flixton Road, Urmston, Manchester",M41 5BG,0161 7482021,-2.362664,53.448267
Derbyshire Road South Surgery,"The Surgery, 12 Derbyshire Road South, Sale, Cheshire",M33 3JP,0161 9733499,-2.310144,53.416957
Conway Road Medical Practice,"Conway Road Med Practice, 80a Conway Road, Sale, Cheshire",M33 2TB,0161 9731151,-2.303561,53.417873
Barrington Medical Centre,"Barrington Medical Centre, 68 Barrington Road, Altrincham, Cheshire",WA14 1JB,0161 9289621,-2.35098,53.395191
St Johns Medical Centre,"St.johns Medical Centre, St.johns Road, Altrincham, Cheshire",WA14 2NW,0161 9285522,-2.353809,53.38276
Gorse Hill Medical Centre,"Gorse Hill Medical Ctr, 879 Chester Rd, Stretford, Manchester",M32 0RN,0161 8642496,-2.296647,53.455651
Family Surgery,"The Surgery, 94 Navigation Road, Altrinchan, Cheshire",WA14 1LL,0161 9299300,-2.346055,53.396194
Old Trafford Medical Practice,"Seymour Grove Health Ctr., 70 Seymour Grove, Old Trafford, Manchester",M16 0LW,0161 8487563,-2.275745,53.458074
Village Surgery,"The Village Surgery, Timperley Health Centre, 169 Grove Lane,Timperley, Cheshire",WA15 6PH,0161 9039010,-2.323566,53.397228
Gloucester House Medical Centre,"Gloucester House Med.ctr., 17 Station Road, Urmston, Manchester",M41 9JS,0161 7487115,-2.352599,53.447337
Lostock Medical Centre,"431 Barton Road, Stretford, Manchester",M32 9PA,0161 8651100,-2.328128,53.45458
North Trafford Group Practice,"North Trafford Group Prac, 864/866 Chester Road, Stretford, Manchester",M32 0PA,0161 8655556,-2.299481,53.453882
Riddings Family Health Centre,"Riddings Family Hlth Ctr, 34 Riddings Road, Timperley, Altrincham, Cheshire",WA15 6BP,0161 9629662,-2.331291,53.404424
Grove Medical Practice,"Grove Medical Practice, 169 Grove Lane,Timperley, Altrincham, Cheshire",WA15 6PH,0161 9039302,-2.323566,53.397228
Trafford Drug Service,"454 Chester Road, Old Trafford, Manchester",M16 9HD,0161 7868250,-2.268471,53.465406
Trafford Health Centre,"Trafford Health Centre, Trafford Gh,Moorside Road, Davyhulme, Manchester",M41 5SL,0161 7474975,-2.370681,53.45406
Trafford Health Centre Wic,"Trafford General Hospital, Moorside Road, Manchester",M41 5SL,0161 7474975,-2.370681,53.45406
Pennine Care Foundation Trust,"Meadway Health Centre, Meadway, Sale",M33 4PS,0161 9754716,-2.344299,53.413322
Community Geriatricians,"1st Floor,Crossgate House, Cross Street, Sale",M33 7FT,0161 8739500,-2.324212,53.426816
