name,address,postcode,telephone,website,opening_hours,facilities,managed_by
Move Altrincham,"Oakfield Road, Altrincham",WA15 8EW,01617492570,https://traffordleisure.co.uk/altrincham-refurbishment-updates-and-help/,"Temporarily closed for refurbishment, re-opening in 2024","25m swimming pool, 20m leisure pool, pool pod to improve accessibility, welcoming lobby area combining pool viewing and café, village wet change (unisex), inclusive changing places toilet (a first for Altrincham town centre), health and wellbeing spa facility, wellness assessment room, state-of-the-art fitness space incorporating Technogym equipment with my wellness technology, fitness changing and dry change areas, two group exercise studio spaces, immersive indoor cycle studio, four-court sports hall, modern gymnastics hub",Trafford Leisure CIC.
Move Altrincham Parking,"Oakfield Road, Altrincham",WA15 8EW,NA,NA,NA,NA,Trafford Leisure CIC.
Sale Leisure Centre,"Broad Road, Sale",M33 2AL,01617492570,https://traffordleisure.co.uk/centres/sale/,"Mon-Fri: 6:30am-9:30pm, Sat-Sun: 8:00am-6:00pm","Sale has a multifunctional gym, spinning studio, 25-metre main swimming pool & a small kids swimming pool and also a club training pool, spectator area, sports hall, badminton, and more.",Trafford Leisure CIC.
Sale Leisure Centre Parking,"Broad Road/Woodlands Road, Sale",M33 2AL,NA,NA,NA,NA,Parkingeye Ltd.
"Stretford Sports Village, Chester Centre","Great Stone Road, Stretford",M32 0ZS,01617492570,https://traffordleisure.co.uk/centres/stretford-sports-village/,"Mon-Fri: 6.30am-10:00pm, Sat-Sun: 8:00am-6:00pm","Stretford has a multifunctional gym and studio, a ladies gym, a 25-metre swimming pool and a small swimming pool, a sports hall, badminton, and more.",Trafford Leisure CIC.
"Stretford Sports Village, Talbot Centre","Great Stone Road, Stretford",M32 0XA,01617492570,https://traffordleisure.co.uk/centres/stretford-talbot/,"Mon-Fri: 5:00pm-10:00pm, Sat-Sun 9:00am-5:00pm","The Talbot Centre provides the local community with modern leisure, health and wellbeing facilities. The centre provides a comprehensive leisure package with activities and sessions for the whole community.",Trafford Leisure CIC.
"Stretford Sports Village, Chester and Talbot Centres Parking","Great Stone Road, Stretford",M32 0ZS,NA,NA,NA,NA,Trafford Leisure CIC.
"Stretford Sports Village, Old Trafford Sports Barn","Seymour Park, Old Trafford",M16 9PQ,01617492570,https://traffordleisure.co.uk/centres/sports-barn/,"Mon-Fri: 5:00pm-10:00pm, Sat-Sun: 10:00am-6:00pm","Sports Hall (4 x Badminton courts), Outdoor Artificial 3G floodlght pitch, Outdoor Hard Courts, Disabled Changing facilities.",Trafford Leisure CIC.
"Stretford Sports Village, Old Trafford Sports Barn Parking","Seymour Park, Old Trafford",M16 9PQ,NA,NA,NA,NA,Trafford Leisure CIC.
Partington Sports Village,"Chapel Lane, Partington",M31 4ES,01617492570,https://traffordleisure.co.uk/centres/partington/,"Mon-Tue: 9:00am-10:00pm, Wed-Fri: 3:00pm-10:00pm, Sat-Sun: 9:00am-5:00pm","Partington has a multifunctional gym and studio, 20 metre swimming pool, double sports hall for football/5 aside, badminton, basketball and more.",Trafford Leisure CIC.
Partington Sports Village Parking,"Chapel Lane, Partington",M31 4ES,NA,NA,NA,NA,Trafford Leisure CIC.
Move Urmston,"Bowfell Road, Urmston",M41 5RR,01617492570,https://twmove.co.uk,"Mon-Fri 6:30am-10:00pm, Sat-Sun: 8:00am-6:00pm","Badminton, Birthdays & Events, Clip and Climb, Fitness and Wellbeing Gym, Fitness Classes, Sensory Room, Swimming, Table Tennis",Trafford Leisure CIC.
Move Urmston Parking,"Bowfell Road, Urmston",M41 5RR,NA,NA,NA,NA,Parkingeye Ltd.
The Grammar,"Altrincham Grammar School for Boys, Marlborough Road, Bowdon, Altrincham",WA14 2RS,01619291078,https://thegrammar.co.uk,"Mon-Fri (term time): 7:00am-8:45am & 5:00pm-10:00pm, Mon-Fri (school holidays): 7:00am-10:00pm, Sat-Sun: 9:00am-5:00pm","Gym, Sports Hall, Practice Hall, All Weather Pitch, 1 Cricket Square, 4 Outdoor Artifical Tennis Courts, Indoor Cricket Nets",Trafford Leisure CIC.
The Grammar Parking,"Altrincham Grammar School for Boys, Marlborough Road, Bowdon, Altrincham",WA14 2RS,NA,NA,NA,NA,Trafford Leisure CIC.
BeActive Urmston,"Kingsway Park, Urmston",M41 7FJ,01614133750,https://www.beactiveurmston.org,"Mon-Fri: 7:00am-9:00pm, Sat-Sun: 9:00am-4:00pm","From our fully-refurbished gym and personal training, to our great class timetable, accessible sports like walking netball, walking football and pickleball, and versatile spaces where you can meet up with others, we help you to achieve your health and wellbeing goals and build a happier, healthier Urmston.",George Carnall Community Group CIC.
BeActive Urmston Parking,"Kingsway Park, Urmston",M41 7FJ,NA,NA,NA,NA,George Carnall Community Group CIC.
